Date,Close_AAL,Close_NVDA,Close_OPEN,High_AAL,High_NVDA,High_OPEN,Low_AAL,Low_NVDA,Low_OPEN,Open_AAL,Open_NVDA,Open_OPEN,Volume_AAL,Volume_NVDA,Volume_OPEN
8/12/2025,12.97999954,183.1600037,2.470000029,13.02000046,184.4799957,2.670000076,11.77000046,179.4600067,2.220000029,11.77999973,182.9600067,2.390000105,114866500,145485700,211020000
8/13/2025,13.10999966,181.5899963,2.420000076,13.22000027,183.9700012,2.599999905,12.73999977,179.3500061,2.349999905,12.97000027,182.6199951,2.484999895,64807800,179871700,101937600
8/14/2025,12.81999969,182.0200043,3.039999962,12.93999958,183.0200043,3.059999943,12.65999985,179.4600067,2.25999999,12.92000008,179.75,2.289999962,58323100,129554000,322386100
8/15/2025,13.17000008,180.4499969,3.170000076,13.18999958,181.8999939,3.529999971,12.85999966,178.0399933,3.099999905,12.89000034,181.8800049,3.410000086,49638800,156602200,419367000
8/18/2025,13.17000008,182.0099945,3.779999971,13.32999992,182.9400024,3.950000048,13.05000019,180.5899963,3.289999962,13.11999989,180.6000061,3.289999962,52979600,132008000,414536100
8/19/2025,13.22000027,175.6399994,3.619999886,13.38000011,182.5,4.099999905,13.10999966,175.4900055,3.519999981,13.26000023,182.4299927,4.025000095,57901500,185229200,340157300
8/20/2025,12.80000019,175.3999939,3.220000029,13.15999985,176,3.630000114,12.75,168.8000031,3.059999943,13.06000042,175.1699982,3.390000105,66701100,215142700,245034900
8/21/2025,12.56999969,174.9799957,3.599999905,12.73999977,176.8999939,3.710000038,12.47999954,173.8099976,3.130000114,12.71000004,174.8500061,3.210000038,62854100,140040900,205099400
8/22/2025,13.55000019,177.9900055,5.010000229,13.57999992,178.5899963,5.079999924,12.57999992,171.1999969,3.440000057,12.57999992,172.6100006,3.579999924,63154000,172789400,657093100
8/25/2025,13,179.8099976,4.539999962,13.31999969,181.9100037,5.869999886,12.88000011,176.5700073,4.53000021,13.27000046,178.3500061,4.949999809,76115700,163012800,764560900
8/26/2025,13.14999962,181.7700043,4.699999809,13.17000008,182.3899994,5.28000021,12.88000011,178.8099976,4.369999886,13.01000023,180.0599976,4.554999828,61358500,168688200,486594900
8/27/2025,13.13000011,181.6000061,4.019999981,13.35999966,182.4900055,4.96999979,13.03999996,179.1000061,3.960000038,13.13000011,181.9799957,4.90500021,52985600,235518900,300736100
8/28/2025,13.25,180.1699982,4.269999981,13.35000038,184.4700012,4.5,13.06000042,176.4100037,4.079999924,13.22000027,180.8200073,4.269999981,66938000,281787800,227292200
8/29/2025,13.36999989,174.1799927,4.449999809,13.39000034,178.1499939,4.929999828,13.14000034,173.1499939,4.210000038,13.25,178.1100006,4.519999981,69403100,243257900,320288300
9/2/2025,13.39000034,170.7799988,5.090000153,13.52000046,172.3800049,5.190000057,12.93999958,167.2200012,4.110000134,13.26000023,170,4.21999979,93846300,231164900,412462900
9/3/2025,13.43999958,170.6199951,5.130000114,14.01000023,172.4100037,5.400000095,13.39999962,168.8800049,4.920000076,13.44999981,171.0599976,5.21999979,82605900,164424900,301188700
9/4/2025,12.85999966,171.6600037,5.960000038,13.65999985,171.8600006,6.070000172,12.85000038,169.4100037,5.039999962,13.47000027,170.5700073,5.130000114,81506000,141670100,466913000
9/5/2025,13.07999992,167.0200043,6.650000095,13.27999973,169.0299988,6.849999905,12.81000042,164.0700073,5.900000095,12.92000008,168.0299988,6.409999847,90367800,224441400,570359100
9/8/2025,12.94999981,168.3099976,6.039999962,13.22000027,170.9600067,7.320000172,12.89000034,167.3500061,5.980000019,13.06999969,167.5500031,7,90099600,163769100,486224200
9/9/2025,12.76000023,170.7599945,6.110000134,12.98999977,170.9799957,6.400000095,12.64000034,166.7400055,5.900000095,12.93999958,169.0899963,6.03000021,65458800,157548400,239875900
9/10/2025,12.81999969,177.3300018,5.860000134,13.10000038,179.2899933,6.429999828,12.64000034,175.4700012,5.570000172,12.76000023,176.6399994,6.380000114,87363400,226852000,373272100
9/11/2025,12.94999981,177.1699982,10.52000046,13.09000015,180.2799988,10.69999981,12.60999966,176.4799957,7.420000076,12.94999981,179.6799927,7.610000134,105684200,150849700,1036419900
